TestName,Vertices,Edges,Time,PathLength,FoundPath,Iterations,PathSequence
test_30_medium_46v_d40,46,414,1.596e-05,5.03277,true,1,"I->C"
test_31_medium_46v_d80,46,828,1.7894e-05,4.21151,true,1,"V38->M->V43->I"
test_32_big_51v_d40,51,510,1.6024e-05,4.53104,true,1,"W->V39->G"
test_33_big_56v_d40,56,616,1.5291e-05,4.20339,true,1,"J->V46->V->G"
test_34_big_61v_d40,61,732,2.7565e-05,4.66708,true,1,"D->U->V34"
test_35_big_66v_d40,66,858,2.2377e-05,4.03515,true,1,"L->V53->V50->V47"
test_36_big_71v_d40,71,994,3.1351e-05,4.77598,true,1,"V36->V70->X"
test_37_big_76v_d40,76,1140,1.6427e-05,2.71591,true,1,"V35->V38->V51"
test_38_big_81v_d40,81,1296,2.2432e-05,3.71844,true,1,"A->S"
test_39_big_86v_d40,86,1462,6.0483e-05,4.17987,true,1,"H->V56->V78->V65"
test_40_big_91v_d40,91,1638,4.9327e-05,4.46565,true,1,"V74->V47->V62->V80"
test_41_big_96v_d40,96,1824,7.5379e-05,5.75429,true,1,"V91->X->L->V78"
test_42_star_6v,6,5,3.411e-06,12.1351,true,1,"C->A->D"
test_43_star_10v,10,9,3.062e-06,7.90663,true,1,"C->A->G"
test_44_star_14v,14,13,3.41e-06,8.75953,true,1,"J->A->K"
test_45_star_18v,18,17,4.464e-06,7.80596,true,1,"E->A->C"
test_46_path_8v,8,7,5.207e-06,39.4356,true,1,"B->C->D->E->F->G->H"
test_47_path_13v,13,12,2.475e-06,6.18734,true,1,"B->A"
test_48_path_18v,18,17,3.951e-06,52.4782,true,1,"M->L->K->J->I->H->G->F->E"
test_49_path_23v,23,22,4.785e-06,63.5271,true,1,"S->R->Q->P->O->N->M->L->K->J->I->H->G"
test_50_grid_3x3,9,12,2.805e-06,13.1169,true,1,"G->D->A"
test_51_grid_3x4,12,17,4.345e-06,4.288,true,1,"H->L"
test_52_grid_3x5,15,22,5.692e-06,27.5009,true,1,"O->J->I->H->G->L->K"
test_53_grid_3x6,18,27,5.592e-06,11.6617,true,1,"R->Q->K->J"
test_54_grid_4x3,12,17,6.765e-06,5.42672,true,1,"G->H"
test_55_grid_4x4,16,24,4.867e-06,16.0569,true,1,"O->K->G->F"
test_56_grid_4x5,20,31,4.171e-06,6.55608,true,1,"R->S->N"
test_57_grid_4x6,24,38,6.233e-06,11.8197,true,1,"H->I->J->K->E"
test_58_grid_5x3,15,22,3.053e-06,15.134,true,1,"B->E->F"
test_59_grid_5x4,20,31,5.922e-06,13.3772,true,1,"J->K->G->H->D"
test_60_grid_5x5,25,40,4.217e-06,12.7641,true,1,"E->D->I->N"
test_61_grid_5x6,30,49,7.104e-06,21.637,true,1,"K->J->I->O->U"
test_62_grid_6x3,18,27,2.108e-06,1.61734,true,1,"C->F"
test_63_grid_6x4,24,38,6.142e-06,16.4253,true,1,"T->S->R->Q"
test_64_grid_6x5,30,49,6.839e-06,18.2115,true,1,"G->L->Q->V->W->V28->V29"
test_65_grid_6x6,36,60,3.172e-06,8.47903,true,1,"L->K"
test_66_complete_5v,5,10,1.989e-06,3.1794,true,1,"A->B"
test_67_complete_8v,8,28,5.62e-06,2.72941,true,1,"D->H->C"
test_68_complete_11v,11,55,3.832e-06,2.86248,true,1,"K->D->I"
test_69_complete_14v,14,91,3.098e-06,2.80065,true,1,"F->K"
test_70_large_110v_d20,110,1199,7.3693e-05,6.60183,true,1,"V82->I->V57->V29"
test_71_large_110v_d35,110,2098,3.3578e-05,3.04353,true,1,"Z->V45->V65"
test_72_large_110v_d50,110,2997,9.6729e-05,4.06056,true,1,"V72->O->V43->T"
test_73_large_120v_d20,120,1428,5.9466e-05,6.06486,true,1,"V71->V70->P->V31"
test_74_large_120v_d35,120,2499,0.00012137,4.04929,true,1,"C->S->V91->V58"
test_75_large_120v_d50,120,3570,1.6949e-05,2.1667,true,1,"V107->V37->V40"
test_76_large_130v_d20,130,1677,5.9117e-05,5.99075,true,1,"V92->C->X->V74"
test_77_large_130v_d35,130,2934,0.000153912,4.50361,true,1,"V48->V96->V56"
test_78_large_130v_d50,130,4192,0.000181789,4.64619,true,1,"V35->V107->V92->V126"
test_79_large_140v_d20,140,1946,1.7169e-05,2.35338,true,1,"V33->V102->V96"
test_80_large_140v_d35,140,3405,0.000183182,4.46825,true,1,"T->V77->V49->A"
test_81_large_140v_d50,140,4865,0.00015834,4.06443,true,1,"V70->V89->V134"
test_82_large_150v_d20,150,2235,1.4566e-05,1.93232,true,1,"V32->V124"
test_83_large_150v_d35,150,3911,0.000219621,4.31643,true,1,"J->V103->V53->V66"
test_84_large_150v_d50,150,5587,0.000119701,3.44211,true,1,"V52->V37->A"
test_85_large_160v_d20,160,2544,6.4508e-05,4.53973,true,1,"V47->V62->O->V139"
test_86_large_160v_d35,160,4452,8.6178e-05,3.49832,true,1,"V50->V87->V101"
test_87_large_160v_d50,160,6360,0.000178645,3.41333,true,1,"V90->V87->V77"
test_88_large_170v_d20,170,2873,9.5024e-05,4.4315,true,1,"V128->V119->V144->V129"
test_89_large_170v_d35,170,5027,0.000200636,4.8288,true,1,"V67->V49->V121->V136"
test_90_large_170v_d50,170,7182,0.000156397,3.33816,true,1,"C->V169->V61"
test_91_large_180v_d20,180,3222,0.000223554,5.82805,true,1,"W->R->Q"
test_92_large_180v_d35,180,5638,0.000137109,3.7531,true,1,"V102->V130->V179"
test_93_large_180v_d50,180,8055,0.000201287,3.35101,true,1,"V113->V179->V115->V41"
test_94_large_190v_d20,190,3591,8.2255e-05,4.46538,true,1,"V189->Q"
test_95_large_190v_d35,190,6284,0.00025528,4.27384,true,1,"V95->V93->V75->V148"
test_96_large_190v_d50,190,8977,2.872e-05,1.72758,true,1,"V80->V159"
test_97_large_200v_d20,200,3980,3.9097e-05,2.39292,true,1,"V138->V70->V164"
test_98_large_200v_d35,200,6965,0.000277721,4.52926,true,1,"V56->V194->V163->O"
test_99_large_200v_d50,200,9950,0.000315543,3.71963,true,1,"H->V119->V144->V52"
